"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1585","Check displaying of empty courses list","LMS system","Sun Jan 18 13:53:13 UTC 2026","passed","Sun Jan 18 13:53:14 UTC 2026","Courses","Courses","",""
"","1821","User login with wrong email or password","LMS system","Sun Jan 18 13:53:05 UTC 2026","passed","Sun Jan 18 13:53:07 UTC 2026","Authorization","Authentication","",""
"","2823","User login with correct email or password","LMS system","Sun Jan 18 13:53:07 UTC 2026","passed","Sun Jan 18 13:53:10 UTC 2026","Authorization","Authentication","",""
"","1766","Navigate from login page to registration page","LMS system","Sun Jan 18 13:53:09 UTC 2026","passed","Sun Jan 18 13:53:11 UTC 2026","Authorization","Authentication","",""
"","2878","Create course","LMS system","Sun Jan 18 13:53:14 UTC 2026","passed","Sun Jan 18 13:53:17 UTC 2026","Courses","Courses","",""
"","1999","User login with wrong email or password","LMS system","Sun Jan 18 13:53:05 UTC 2026","passed","Sun Jan 18 13:53:07 UTC 2026","Authorization","Authentication","",""
"","2064","Registration with correct email, username and password","LMS system","Sun Jan 18 13:53:11 UTC 2026","passed","Sun Jan 18 13:53:13 UTC 2026","Registration","Authentication","",""
"","2160","Check displaying of dashboard page","LMS system","Sun Jan 18 13:53:18 UTC 2026","passed","Sun Jan 18 13:53:20 UTC 2026","Dashboard","Dashboard","",""
"","3912","test_edit_course[chromium]","LMS system","Sun Jan 18 13:53:15 UTC 2026","passed","Sun Jan 18 13:53:19 UTC 2026","Courses","Courses","",""
"","1558","User login with wrong email or password","LMS system","Sun Jan 18 13:53:07 UTC 2026","passed","Sun Jan 18 13:53:09 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jan 18 13:53:19 UTC 2026","passed","Sun Jan 18 13:53:19 UTC 2026","TestUserInterface","test_markers","",""
